FLUSHSTAGES entries=268 bytes=2816 enc_ms=6.5 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=0.1 lz4=true
FLUSHSTAGES entries=272384 bytes=60269407 enc_ms=171.2 lz4_ms=75.7 bloom_ms=35.1 crc_ms=14.2 write_ms=36.4 lz4=true
FLUSHSTAGES entries=266 bytes=2796 enc_ms=5.0 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=0.1 lz4=true
FLUSHSTAGES entries=274432 bytes=60722489 enc_ms=169.9 lz4_ms=76.3 bloom_ms=35.2 crc_ms=14.5 write_ms=35.6 lz4=true
FLUSHSTAGES entries=268 bytes=2817 enc_ms=5.2 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=0.1 lz4=true
FLUSHSTAGES entries=1 bytes=126 enc_ms=0.2 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=113.8 lz4=false
FLUSHSTAGES entries=1 bytes=126 enc_ms=0.3 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=1.7 lz4=false
FLUSHSTAGES entries=274432 bytes=60722254 enc_ms=259.3 lz4_ms=117.2 bloom_ms=34.8 crc_ms=14.4 write_ms=47.8 lz4=true
FLUSHSTAGES entries=268 bytes=2816 enc_ms=5.0 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=0.1 lz4=true
FLUSHSTAGES entries=272384 bytes=60269213 enc_ms=193.0 lz4_ms=87.7 bloom_ms=37.1 crc_ms=14.9 write_ms=42.7 lz4=true
FLUSHSTAGES entries=266 bytes=2797 enc_ms=5.2 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=0.1 lz4=true
FLUSHSTAGES entries=273408 bytes=60496013 enc_ms=254.4 lz4_ms=130.1 bloom_ms=38.8 crc_ms=15.8 write_ms=39.1 lz4=true
FLUSHSTAGES entries=267 bytes=2806 enc_ms=4.8 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=0.1 lz4=true
FLUSHSTAGES entries=272384 bytes=60269220 enc_ms=245.6 lz4_ms=121.1 bloom_ms=40.1 crc_ms=16.1 write_ms=40.5 lz4=true
FLUSHSTAGES entries=266 bytes=2795 enc_ms=7.4 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=0.1 lz4=true
FLUSHSTAGES entries=1 bytes=126 enc_ms=0.2 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=209.6 lz4=false
FLUSHSTAGES entries=1 bytes=126 enc_ms=0.4 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=1.6 lz4=false
FLUSHSTAGES entries=277504 bytes=61402274 enc_ms=247.0 lz4_ms=119.9 bloom_ms=41.1 crc_ms=16.6 write_ms=45.7 lz4=true
FLUSHSTAGES entries=271 bytes=2848 enc_ms=4.9 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=0.1 lz4=true
FLUSHSTAGES entries=274432 bytes=60722269 enc_ms=253.2 lz4_ms=123.2 bloom_ms=40.8 crc_ms=16.6 write_ms=43.5 lz4=true
FLUSHSTAGES entries=268 bytes=2820 enc_ms=5.1 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=0.1 lz4=true
FLUSHSTAGES entries=273408 bytes=60495871 enc_ms=251.6 lz4_ms=120.4 bloom_ms=39.7 crc_ms=14.7 write_ms=38.7 lz4=true
FLUSHSTAGES entries=267 bytes=2805 enc_ms=4.8 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=0.1 lz4=true
FLUSHSTAGES entries=273408 bytes=60495921 enc_ms=236.3 lz4_ms=117.3 bloom_ms=44.5 crc_ms=18.0 write_ms=47.5 lz4=true
FLUSHSTAGES entries=267 bytes=2807 enc_ms=7.5 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=0.1 lz4=true
FLUSHSTAGES entries=1 bytes=126 enc_ms=0.2 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=191.8 lz4=false
FLUSHSTAGES entries=1 bytes=126 enc_ms=0.4 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=3.6 lz4=false
FLUSHSTAGES entries=286720 bytes=63441091 enc_ms=206.7 lz4_ms=92.4 bloom_ms=37.2 crc_ms=15.3 write_ms=59.3 lz4=true
FLUSHSTAGES entries=280 bytes=2937 enc_ms=5.9 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=0.1 lz4=true
FLUSHSTAGES entries=272384 bytes=60269111 enc_ms=287.2 lz4_ms=137.0 bloom_ms=42.9 crc_ms=17.2 write_ms=58.0 lz4=true
FLUSHSTAGES entries=266 bytes=2796 enc_ms=7.9 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=0.1 lz4=true
FLUSHSTAGES entries=273408 bytes=60495536 enc_ms=181.1 lz4_ms=82.1 bloom_ms=36.9 crc_ms=15.1 write_ms=37.8 lz4=true
FLUSHSTAGES entries=267 bytes=2808 enc_ms=8.1 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=0.1 lz4=true
FLUSHSTAGES entries=272384 bytes=60251684 enc_ms=170.6 lz4_ms=75.3 bloom_ms=36.6 crc_ms=14.6 write_ms=41.5 lz4=true
FLUSHSTAGES entries=266 bytes=2867 enc_ms=6.2 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=0.1 lz4=true
FLUSHSTAGES entries=1 bytes=126 enc_ms=0.3 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=240.4 lz4=false
FLUSHSTAGES entries=1 bytes=126 enc_ms=0.6 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=2.2 lz4=false
FLUSHSTAGES entries=320512 bytes=70885520 enc_ms=291.9 lz4_ms=143.8 bloom_ms=50.0 crc_ms=20.4 write_ms=54.7 lz4=true
FLUSHSTAGES entries=313 bytes=3267 enc_ms=6.4 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=0.1 lz4=true
FLUSHSTAGES entries=272384 bytes=60241014 enc_ms=240.5 lz4_ms=108.3 bloom_ms=42.0 crc_ms=17.5 write_ms=39.1 lz4=true
FLUSHSTAGES entries=266 bytes=2800 enc_ms=4.9 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=0.1 lz4=true
FLUSHSTAGES entries=273408 bytes=60467401 enc_ms=240.7 lz4_ms=115.3 bloom_ms=40.3 crc_ms=16.3 write_ms=45.4 lz4=true
FLUSHSTAGES entries=267 bytes=2805 enc_ms=7.9 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=0.1 lz4=true
FLUSHSTAGES entries=272384 bytes=60241428 enc_ms=235.5 lz4_ms=116.1 bloom_ms=39.5 crc_ms=16.0 write_ms=44.2 lz4=true
FLUSHSTAGES entries=266 bytes=2795 enc_ms=5.3 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=0.1 lz4=true
FLUSHSTAGES entries=1 bytes=126 enc_ms=0.2 lz4_ms=0.0 bloom_ms=0.0 crc_ms=0.0 write_ms=333.0 lz4=false
